320	Miles McBride	86,763
321	Damian Jones	86,755
322	Jason Preston	84,862
323	Caleb Martin	84,846
324	Moses Brown	84,036
325	Derrick Favors	83,202
326	Brook Lopez	82,567
327	Aaron Nesmith	81,606
328	Mark Williams	80,416
329	Ty Jerome	78,982
330	Chris Chiozza	78,872
331	Jakob Poeltl	78,641
332	Herb Jones	78,287
333	Walker Kessler	77,888
334	De'Anthony Melton	77,368
335	Bruno Fernando	77,277
336	Omer Yurtseven	76,733
337	Trendon Watford	74,583
338	Corey Kispert	73,631
339	Jericho Sims	73,523
340	Daniel Gafford	71,362
341	Aaron Holiday	71,269
342	Shake Milton	70,297
343	Keegan Murray	70,236
344	Devon Dotson	70,085
345	Johnny Davis	69,287
346	Ignas Brazdeikis	68,343
347	Dewayne Dedmon	67,898
348	DeAndre' Bembry	67,840
349	Richaun Holmes	66,149
350	Paul Reed Jr.	65,743
351	Saddiq Bey	65,148
352	Malachi Flynn	64,976
353	Aleksej Pokusevski	64,857
354	Devin Vassell	64,076
355	Day'Ron Sharpe	63,686
356	Patrick Baldwin Jr.	63,439
357	Daishen Nix	62,594
358	Terence Davis	62,574
359	Collin Gillespie	62,454
360	Markus Howard	62,268
361	Jahmi'us Ramsey	61,213
362	Xavier Tillman Sr.	60,955
363	Jaylen Nowell	60,194
364	Tari Eason	60,078
365	Jared Butler	60,032
366	Garrett Temple	59,814
367	Theo Maledon	59,643
368	Sandro Mamukelashvili	57,337
369	Lamar Stevens	56,686
370	Keon Johnson	55,805
371	Joshua Primo	54,983
372	David Duke	54,824
373	Chris Smith	54,593
374	Jock Landale	54,118
375	Louis King	54,074
376	JaMychal Green	52,939
377	Javonte Smart	52,165
378	OShae Brissett	51,954
379	Alex Len	51,478
380	Jalen Smith	51,182
381	Cody Martin	50,824
382	Isaiah Livers	50,458
383	Tony Snell	50,373
384	Peyton Watson	50,276
385	Udoka Azubuike	50,137
386	Kira Lewis Jr.	50,023
387	Charles Bassey	49,180
388	Isaiah Joe	48,500
389	Yves Pons	46,727
390	Jake Layman	46,005
391	Goga Bitadze	45,918
392	Ousmane Dieng	45,444
393	Ish Smith	44,686
394	Duane Washington Jr.	44,631
395	Isaiah Mobley	44,442
396	Matthew Hurt	43,545
397	Chuma Okeke	41,493
398	Anthony Tolliver	41,058
399	Cody Zeller	40,728
400	Damyean Dotson	40,641
401	Bryce McGowens	38,947
402	Isaiah Roby	38,943
403	Keita Bates-Diop	38,669
404	Tyrell Terry	36,996
405	Jeremiah Robinson-Earl	36,554
406	KZ Okpala	36,258
407	Zeke Nnaji	35,830
408	Chimezie Metu	35,572
409	Aaron Wiggins	34,600
410	David Roddy	33,921
411	Jalen McDaniels	33,898
412	Santi Aldama	33,891
413	Luka Samanic	33,519
414	Sam Hauser	33,042
415	McKinley Wright	32,641
416	J.T. Thor	32,109
417	Chaundee Brown Jr.	30,866
418	Jordan McLaughlin	29,544
419	Vlatko Cancar	28,871
420	Sterling Brown	28,572
421	Dylan Windler	27,633
422	Jay Huff	26,078
423	David Johnson	25,704
424	Mfiondu Kabengele	25,514
425	Amir Coffey	25,409
426	Killian Tillie	24,262
427	Joel Ayayi	23,780
428	Elijah Hughes	23,439
429	Justin Lewis	22,961
430	Justin Champagnie	22,459
431	Naji Marshall	22,346
432	Jake LaRavia	22,111
433	Aaron Henry	21,807
434	Kessler Edwards	19,549
435	R.J. Nembhard	17,769
436	Sam Merrill	15,843
437	Kelan Martin	15,522
438	C.J. Elleby	14,474
439	Marko Simonovic	14,285
440	Keon Ellis	13,902
441	Alondes Williams	13,454
442	Xavier Sneed	13,118
443	Robert Woodard II	12,972
444	Eugene Omoruyi	12,256
445	Nate Hinton	11,778
446	Julian Champagnie	11,620
447	Arnoldas Kulboka	10,952
448	Terry Taylor	8,993
449	Javon Freeman-Liberty	7,630
450	Jordan Schakel	5,085
